question_id,type,answer
A Beautiful Mind,photo,http://www.filmscoop.it/locandine/abeautifulmind.jpg
Love Story,photo,https://mr.comingsoon.it/imgdb/locandine/big/9965.jpg
"Mangia, prega, ama",photo,https://pad.mymovies.it/filmclub/2009/06/074/locandina.jpg
Al di là della vita,photo,https://pad.mymovies.it/filmclub/2002/08/146/locandina.jpg
L’attimo fuggente,photo,https://pad.mymovies.it/filmclub/2002/08/216/locandina.jpg
Vanilla Sky,photo,https://pad.mymovies.it/filmclub/2002/02/001/locandina.jpg
La ricerca della felicità,photo,https://pad.mymovies.it/filmclub/2006/08/195/locandina.jpg
 Sette anni in Tibet,photo,https://pad.mymovies.it/filmclub/2001/09/015/locandina.jpg
Harry Potter e la camera dei segreti,photo,https://pad.mymovies.it/filmclub/2002/12/001/locandina.jpg
Mr. Beaver,photo,https://pad.mymovies.it/filmclub/2009/07/065/locandina.jpg
